Country,City,Date,Hotel_stars,Price,Duration
Turkija,Kemeras,2024-04-10,4,505,7
Turkija,Alanija,2024-04-18,5,729,7
Tunisas,Enfida,2024-05-03,4,589,7
Tunisas,Susas,2024-04-23,5,569,7
Ispanija,Kosta Dorada,2024-05-17,4,642,7
Malta,St. Julian's,2024-03-08,4,549,3
Turkija,Sidė,2024-04-05,5,585,7
Turkija,Alanija,2024-05-02,5,705,7
Tunisas,Hamametas,2024-05-03,5,605,7
Tunisas,Chamametas,2024-05-10,5,665,7
Jungtinė Karalystė,Londonas,2024-03-08,4,450,3
Turkija,Alanija,2024-04-18,5,666,7
Italija,Roma,2024-03-09,4,616,3
Tunisas,Enfida,2024-05-03,5,739,7
Egiptas,Hurgada,2024-03-05,4,831,7
Graikija,Kreta,2024-04-27,4,759,7
Turkija,Kemeras,2024-04-11,5,688,7
Graikija,Rodo sala,2024-05-04,4,604,7
Šri Lanka,Beruwela,2024-03-09,5,1529,10
Turkija,Alanija,2024-04-05,5,456,7
Kipras,Pafosas,2024-03-01,4,534,7
Tunisas,Mahdija,2024-05-02,4,479,7
Turkija,Antalija,2024-04-16,5,777,7
Turkija,Sidė,2024-04-08,5,657,7
Turkija,Sidė,2024-04-05,5,611,7
Egiptas,Hurgada,2024-03-03,5,690,7
Turkija,Kemeras,2024-04-15,4,593,7
Jungtinė Karalystė,Londonas,2024-03-30,4,408,2
Tunisas,Enfida,2024-04-26,4,515,7
Turkija,Alanija,2024-04-07,5,530,7
Tailandas,Pataja,2024-03-05,3,1375,13
Turkija,Alanija,2024-04-05,5,594,7
Italija,Val Rendena,2024-03-09,3,575,7
Portugalija,Madeira,2024-03-12,4,729,7
Šri Lanka,Beruwela,2024-04-04,5,1545,10
Graikija,Kreta,2024-05-04,4,610,7
Graikija,Kreta,2024-05-04,4,712,7
Turkija,Alanija,2024-04-09,5,675,7
Italija,Val Rendena,2024-03-09,3,595,7
Tailandas,Puketas,2024-03-01,3,1625,14
Turkija,Sidė,2024-04-08,4,674,7
Turkija,Alanija,2024-04-05,5,624,7
Portugalija,Madeira,2024-03-19,3,839,7
Turkija,Alanija,2024-04-05,4,350,7
Tunisas,Monastyras,2024-04-26,4,585,7
Ispanija,Tenerifė,2024-03-15,3,1477,7
Graikija,Taso sala,2024-05-26,4,709,7
Indonezija,Balio sala,2024-03-18,4,1769,13
Tunisas,Monastyras,2024-04-23,4,515,7
Italija,Val Rendena,2024-03-16,3,855,7
Turkija,Sidė,2024-04-12,5,894,7
Italija,Livinjas,2024-03-16,3,665,7
Turkija,Alanija,2024-04-11,5,545,7
Tunisas,Hamametas,2024-05-07,4,725,7
Kipras,Aja Napa,2024-05-01,4,566,7
Turkija,Alanija,2024-04-21,5,635,7
Egiptas,Šarm Aš Šeichas,2024-03-06,5,860,7
Graikija,Kreta,2024-05-11,4,558,7
Ispanija,Barselona,2024-03-04,4,669,7
Tunisas,Hamametas,2024-04-23,4,595,7
Graikija,Kreta,2024-05-11,4,667,7
Tunisas,Enfida,2024-05-02,4,462,7
Turkija,Sidė,2024-05-02,4,591,7
Graikija,Zakintas,2024-05-28,5,909,7
Turkija,Sidė,2024-04-09,5,548,7
Graikija,Taso sala,2024-05-19,5,829,7
Tailandas,Pataja,2024-03-12,4,1629,13
Tunisas,Enfida,2024-04-26,4,509,7
Juodkalnija,Tivatas,2024-05-20,4,815,7
Turkija,Alanija,2024-04-08,5,565,7
Turkija,Alanija,2024-04-23,5,657,7
Egiptas,Makadi Bėjus,2024-03-06,5,842,7
Tunisas,Susas,2024-05-07,5,769,7
