Hotel_name,Price,Hotel_stars,Country,City,Duration,Date
Altinkaya Holiday Resort,449,3,Šiaurės Kipras, ,7,2024-04-26
Riverside Garden Resort,489,4,Šiaurės Kipras, ,7,2024-04-26
Amber Hotel Istanbul,489,4,Turkija,Stambulas,3,2024-03-12
Plaža Omiš,499,4,Kroatija,Splitas,3,2024-04-12
Kazaviti,499,3,Graikija,Tasas,7,2024-05-19
La Boheme Luxurious Apartamentai,509,3,Graikija,Tasas,7,2024-05-19
Ola,519,4,Kroatija,Splitas,3,2024-04-12
Long Beach Resort,519,4,Šiaurės Kipras, ,7,2024-04-19
Villa Verica,519,3,Kroatija,Splitas,3,2024-04-12
Golden Crown,529,3,Turkija,Stambulas,3,2024-03-12
Beyazit Palace,539,4,Turkija,Stambulas,3,2024-03-25
MG Alexander The Great,539,4,Egiptas,Marsa Alamas,7,2024-03-09
Valamar Meteor Hotel,549,4,Kroatija,Splitas,3,2024-04-12
Zurich Istanbul,549,4,Turkija,Stambulas,3,2024-03-12
Orka Royal Hotel and SPA,549,4,Turkija,Stambulas,3,2024-03-25
Aprilis Gold,549,4,Turkija,Stambulas,3,2024-03-25
Grand Hotel Slavia,549,4,Kroatija,Splitas,3,2024-04-12
Alhambra Hotel,549,4,Ispanija,Barselona,3,2024-05-04
Pineda Splash,549,4,Ispanija,Barselona,3,2024-05-04
Best Sciroco,559,4,Ispanija,Malaga (Kosta del Solis),3,2024-03-02
Yigitalp Istanbul,559,4,Turkija,Stambulas,3,2024-03-27
Villa Fylaktos,559,3,Graikija,Tasas,7,2024-05-19
Caprici Beach Hotel & Spa,559,4,Ispanija,Barselona,3,2024-05-04
Tropic Park,559,4,Ispanija,Barselona,4,2024-05-12
Akgun Istanbul,569,5,Turkija,Stambulas,3,2024-03-12
Lady Diana Hotel & Spa,569,4,Turkija,Stambulas,3,2024-03-12
Catch Hotel Sultanahmet,569,3,Turkija,Stambulas,3,2024-03-12
Thassos,579,3,Graikija,Tasas,7,2024-05-19
Barcelona Condal Mar Affiliated by Meliá,579,4,Ispanija,Barselona,3,2024-03-01
Occidental Atenea Mar,589,4,Ispanija,Barselona,3,2024-03-15
Blue Reef Resort,589,4,Egiptas,Marsa Alamas,7,2024-03-02
